HomeTeam,AwayTeam,Winner,Player,GoalTime
Chile,Mexico,Mexico,Raúl Jiménez,28
Chile,Mexico,Chile,Eduardo Vargas,41
Chile,Mexico,Chile,Arturo Vidal,54
Chile,Mexico,Mexico,Vicente Matías Vuoso,65
Ecuador,Bolivia,Bolivia,Ronald Raldes,4
Ecuador,Bolivia,Bolivia,Martin Smedberg-Dalence,17
Ecuador,Bolivia,Bolivia,Marcelo Martins Moreno,42
Ecuador,Bolivia,Ecuador,Enner Valencia,47
Ecuador,Bolivia,Ecuador,Miller Bolaños,80
Argentina,Uruguay,Argentina,Sergio Agüero,55
Bangladesh,Tajikistan,Bangladesh,Jahid Hasan Ameli,50
Bangladesh,Tajikistan,Tajikistan,Fatkhullo Fatkhuloev,88
Bhutan,China PR,China PR,Yang Xu,45
Bhutan,China PR,China PR,Wu Lei,55
Bhutan,China PR,China PR,Yang Xu,60
Bhutan,China PR,China PR,Yu Dabao,67
Bhutan,China PR,China PR,Yang Xu,76
Bhutan,China PR,China PR,Yu Dabao,83
Cambodia,Afghanistan,Afghanistan,Mustafa Zazai,86
Canada,Dominica,Canada,Tesho Akindele,4
Canada,Dominica,Canada,Cyle Larin,41
Canada,Dominica,Canada,Tosaint Ricketts,52
Canada,Dominica,Canada,Tosaint Ricketts,78
El Salvador,Saint Kitts and Nevis,El Salvador,Darwin Cerén,3
El Salvador,Saint Kitts and Nevis,El Salvador,Nelson Bonilla,52
El Salvador,Saint Kitts and Nevis,El Salvador,Arturo Álvarez,62
El Salvador,Saint Kitts and Nevis,Saint Kitts and Nevis,Atiba Harris,69
El Salvador,Saint Kitts and Nevis,El Salvador,Nelson Bonilla,80
Grenada,Puerto Rico,Grenada,Joan Morales,34
Grenada,Puerto Rico,Grenada,Jamal Charles,80
Guam,India,Guam,Brandon McDonald,37
Guam,India,Guam,Travis Nicklaw,62
Guam,India,India,Sunil Chhetri,90
Hong Kong,Maldives,Hong Kong,Xu Deshuai,63
Hong Kong,Maldives,Hong Kong,Lam Ka Wai,67
Kyrgyzstan,Australia,Australia,Mile Jedinak,2
Kyrgyzstan,Australia,Australia,Tommy Oar,68
Kyrgyzstan,Australia,Kyrgyzstan,Almazbek Mirzaliev,90
Laos,Lebanon,Lebanon,Mohammed Ghaddar,5
Laos,Lebanon,Lebanon,Feiz Shamsin,75
Malaysia,Palestine,Palestine,Musab Al-Battat,9
Malaysia,Palestine,Palestine,Sameh Maraaba,22
Malaysia,Palestine,Palestine,Tamer Seyam,41
Malaysia,Palestine,Palestine,Khader Yousef,63
Malaysia,Palestine,Palestine,Sameh Maraaba,75
Malaysia,Palestine,Palestine,Tamer Seyam,86
Myanmar,South Korea,South Korea,Lee Jae-sung,35
Myanmar,South Korea,South Korea,Son Heung-min,67
North Korea,Uzbekistan,North Korea,Pak Kwang-ryong,4
North Korea,Uzbekistan,North Korea,Jang Kuk-chol,16
North Korea,Uzbekistan,North Korea,Ro Hak-su,34
North Korea,Uzbekistan,North Korea,Ri Hyok-chol,36
North Korea,Uzbekistan,Uzbekistan,Anzur Ismailov,53
North Korea,Uzbekistan,Uzbekistan,Sardor Rashidov,79
Paraguay,Jamaica,Paraguay,Édgar Benítez,35
Suriname,Nicaragua,Suriname,Roxey Fer,3
Suriname,Nicaragua,Nicaragua,Raúl Leguías,27
Suriname,Nicaragua,Nicaragua,Manuel Rosas Arreola,51
Suriname,Nicaragua,Nicaragua,Carlos Chavarría,90
Taiwan,Thailand,Thailand,Teerasil Dangda,21
Taiwan,Thailand,Thailand,Teerasil Dangda,39
Turkmenistan,Iran,Iran,Sardar Azmoun,4
Turkmenistan,Iran,Turkmenistan,Ruslan Mingazow,45
Yemen,Philippines,Philippines,Misagh Bahadoran,52
Yemen,Philippines,Philippines,Iain Ramsay,74
Brazil,Colombia,Colombia,Jeison Murillo,36
Peru,Venezuela,Peru,Claudio Pizarro,71
Chile,Bolivia,Chile,Charles Aránguiz,2
Chile,Bolivia,Chile,Alexis Sánchez,36
Chile,Bolivia,Chile,Charles Aránguiz,65
Chile,Bolivia,Chile,Gary Medel,78
Chile,Bolivia,Chile,Ronald Raldes,85
Mexico,Ecuador,Ecuador,Miller Bolaños,25
Mexico,Ecuador,Ecuador,Enner Valencia,57
Mexico,Ecuador,Mexico,Raúl Jiménez,63
Argentina,Jamaica,Argentina,Gonzalo Higuaín,10
Uruguay,Paraguay,Uruguay,José María Giménez,28
Uruguay,Paraguay,Paraguay,Lucas Barrios,44
Brazil,Venezuela,Brazil,Thiago Silva,8
Brazil,Venezuela,Brazil,Roberto Firmino,51
Brazil,Venezuela,Venezuela,Miku,84
Chile,Uruguay,Chile,Mauricio Isla,80
Bolivia,Peru,Peru,Paolo Guerrero,19
Bolivia,Peru,Peru,Paolo Guerrero,22
Bolivia,Peru,Peru,Paolo Guerrero,73
Bolivia,Peru,Bolivia,Marcelo Martins Moreno,83
Brazil,Paraguay,Brazil,Robinho,14
Brazil,Paraguay,Paraguay,Derlis González,71
Chile,Peru,Chile,Eduardo Vargas,41
Chile,Peru,Peru,Gary Medel,60
Chile,Peru,Chile,Eduardo Vargas,63
Argentina,Paraguay,Argentina,Marcos Rojo,14
Argentina,Paraguay,Argentina,Javier Pastore,26
Argentina,Paraguay,Paraguay,Lucas Barrios,42
Argentina,Paraguay,Argentina,Ángel Di María,46
Argentina,Paraguay,Argentina,Ángel Di María,52
Argentina,Paraguay,Argentina,Sergio Agüero,79
Argentina,Paraguay,Argentina,Gonzalo Higuaín,82
Peru,Paraguay,Peru,André Carrillo,48
Peru,Paraguay,Peru,Paolo Guerrero,89
Panama,Haiti,Panama,Alberto Quintero,56
Panama,Haiti,Haiti,Duckens Nazon,86
United States,Honduras,United States,Clint Dempsey,25
United States,Honduras,United States,Clint Dempsey,64
United States,Honduras,Honduras,Carlos Discua,69
Costa Rica,Jamaica,Jamaica,Garath McCleary,13
Costa Rica,Jamaica,Costa Rica,Roy Miller,33
Costa Rica,Jamaica,Costa Rica,David Ramírez,37
Costa Rica,Jamaica,Jamaica,Jobi McAnuff,48
Mexico,Cuba,Mexico,Oribe Peralta,17
Mexico,Cuba,Mexico,Carlos Vela,23
Mexico,Cuba,Mexico,Oribe Peralta,37
Mexico,Cuba,Mexico,Andrés Guardado,44
Mexico,Cuba,Mexico,Oribe Peralta,62
Mexico,Cuba,Mexico,Giovani dos Santos,75
Trinidad and Tobago,Guatemala,Trinidad and Tobago,Sheldon Bateau,11
Trinidad and Tobago,Guatemala,Trinidad and Tobago,Cordell Cato,14
Trinidad and Tobago,Guatemala,Trinidad and Tobago,Joevin Jones,25
Trinidad and Tobago,Guatemala,Guatemala,Carlos Ruiz,62
Honduras,Panama,Panama,Luis Tejada,21
Honduras,Panama,Honduras,Andy Najar,82
United States,Haiti,United States,Clint Dempsey,47
Costa Rica,El Salvador,Costa Rica,Bryan Ruiz,61
Costa Rica,El Salvador,El Salvador,Dustin Corea,90
Jamaica,Canada,Jamaica,Rodolph Austin,90
Trinidad and Tobago,Cuba,Trinidad and Tobago,Sheldon Bateau,17
Trinidad and Tobago,Cuba,Trinidad and Tobago,Andre Boucaud,42
Honduras,Haiti,Haiti,Duckens Nazon,14
United States,Panama,Panama,Blas Pérez,34
United States,Panama,United States,Michael Bradley,55
Jamaica,El Salvador,Jamaica,Garath McCleary,72
Guatemala,Cuba,Cuba,Maikel Reyes,73
Trinidad and Tobago,Mexico,Mexico,Paul Aguilar,32
Trinidad and Tobago,Mexico,Mexico,Carlos Vela,51
Trinidad and Tobago,Mexico,Trinidad and Tobago,Keron Cummings,55
Trinidad and Tobago,Mexico,Trinidad and Tobago,Kenwyne Jones,58
Trinidad and Tobago,Mexico,Trinidad and Tobago,Keron Cummings,67
Trinidad and Tobago,Mexico,Mexico,Andrés Guardado,88
Trinidad and Tobago,Mexico,Mexico,Kenwyne Jones,90
Trinidad and Tobago,Mexico,Trinidad and Tobago,Yohance Marshall,90
Haiti,Jamaica,Jamaica,Giles Barnes,6
United States,Cuba,United States,Clint Dempsey,4
United States,Cuba,United States,Gyasi Zardes,15
United States,Cuba,United States,Aron Jóhannsson,32
United States,Cuba,United States,Omar Gonzalez,45
United States,Cuba,United States,Clint Dempsey,64
United States,Cuba,United States,Clint Dempsey,78
Mexico,Costa Rica,Mexico,Andrés Guardado,120
Trinidad and Tobago,Panama,Panama,Luis Tejada,36
Trinidad and Tobago,Panama,Trinidad and Tobago,Kenwyne Jones,53
Panama,Mexico,Panama,Román Torres,57
Panama,Mexico,Mexico,Andrés Guardado,90
Panama,Mexico,Mexico,Andrés Guardado,105
United States,Jamaica,Jamaica,Darren Mattocks,30
United States,Jamaica,Jamaica,Giles Barnes,35
United States,Jamaica,United States,Michael Bradley,47
United States,Panama,Panama,Roberto Nurse,55
United States,Panama,United States,Clint Dempsey,70
Jamaica,Mexico,Mexico,Andrés Guardado,31
Jamaica,Mexico,Mexico,Jesús Manuel Corona,46
Jamaica,Mexico,Mexico,Oribe Peralta,60
Jamaica,Mexico,Jamaica,Darren Mattocks,78
Samoa,American Samoa,Samoa,Desmond Fa'aiuaso,4
Samoa,American Samoa,Samoa,Faitalia Hamilton-Pama,18
Samoa,American Samoa,Samoa,Andrew Mobberley,26
Samoa,American Samoa,American Samoa,Frankie Beauchamp,38
Samoa,American Samoa,American Samoa,Frankie Beauchamp,86
Tonga,Cook Islands,Cook Islands,Taylor Saghabi,38
Tonga,Cook Islands,Cook Islands,Taylor Saghabi,53
Tonga,Cook Islands,Cook Islands,Taylor Saghabi,59
Cook Islands,Samoa,Cook Islands,Taylor Saghabi,39
Tonga,American Samoa,Tonga,Sione Uhatahi,47
Tonga,American Samoa,American Samoa,Justin Manao,49
Tonga,American Samoa,American Samoa,Ramin Ott,51
Australia,Bangladesh,Australia,Mathew Leckie,6
Australia,Bangladesh,Australia,Tom Rogic,8
Australia,Bangladesh,Australia,Tom Rogic,20
Australia,Bangladesh,Australia,Nathan Burns,29
Australia,Bangladesh,Australia,Aaron Mooy,61
Bahrain,North Korea,North Korea,Jong Il-gwan,42
Belgium,Bosnia and Herzegovina,Bosnia and Herzegovina,Edin Džeko,15
Belgium,Bosnia and Herzegovina,Belgium,Marouane Fellaini,23
Belgium,Bosnia and Herzegovina,Belgium,Kevin De Bruyne,44
Belgium,Bosnia and Herzegovina,Belgium,Eden Hazard,78
Bulgaria,Norway,Norway,Vegard Forren,57
Cyprus,Wales,Wales,Gareth Bale,82
Czech Republic,Kazakhstan,Kazakhstan,Yuriy Logvinenko,21
Czech Republic,Kazakhstan,Czech Republic,Milan Škoda,74
Czech Republic,Kazakhstan,Czech Republic,Milan Škoda,86
Iran,Guam,Iran,Ashkan Dejagah,10
Iran,Guam,Iran,Mehdi Taremi,31
Iran,Guam,Iran,Sardar Azmoun,34
Iran,Guam,Iran,Sardar Azmoun,41
Iran,Guam,Iran,Mehdi Taremi,65
Iran,Guam,Iran,Mehdi Torabi,89
Iraq,Taiwan,Iraq,Ali Adnan Kadhim,37
Iraq,Taiwan,Iraq,Ali Hosni,59
Iraq,Taiwan,Iraq,Ahmed Yasin Ghani,80
Iraq,Taiwan,Taiwan,Wen Chih-hao,86
Iraq,Taiwan,Iraq,Younis Mahmoud,88
Iraq,Taiwan,Iraq,Justin Meram,90
Israel,Andorra,Israel,Eran Zahavi,3
Israel,Andorra,Israel,Nir Bitton,22
Israel,Andorra,Israel,Tomer Hemed,26
Israel,Andorra,Israel,Mu'nas Dabbur,38
Italy,Malta,Italy,Graziano Pellè,69
Japan,Cambodia,Japan,Keisuke Honda,28
Japan,Cambodia,Japan,Maya Yoshida,50
Japan,Cambodia,Japan,Shinji Kagawa,61
Kuwait,Myanmar,Kuwait,Yousef Nasser,11
Kuwait,Myanmar,Kuwait,Ali Maqseed,12
Kuwait,Myanmar,Kuwait,Yousef Nasser,18
Kuwait,Myanmar,Kuwait,Faisal Zayid,46
Kuwait,Myanmar,Kuwait,Zaw Min Tun,56
Kuwait,Myanmar,Kuwait,Aziz Mashaan,61
Kuwait,Myanmar,Kuwait,Bader Al-Mutawa,69
Kuwait,Myanmar,Kuwait,Bader Al-Mutawa,88
Kuwait,Myanmar,Kuwait,Bader Al-Mutawa,90
Netherlands,Iceland,Iceland,Gylfi Sigurðsson,51
Oman,Turkmenistan,Oman,Raed Ibrahim Saleh,7
Oman,Turkmenistan,Oman,Mekan Saparow,11
Oman,Turkmenistan,Oman,Amad Al-Hosni,59
Oman,Turkmenistan,Turkmenistan,Arslanmyrat Amanow,82
Qatar,Bhutan,Qatar,Mohammed Musa,8
Qatar,Bhutan,Qatar,Mohammed Kasola,18
Qatar,Bhutan,Qatar,Ali Assadalla,21
Qatar,Bhutan,Qatar,Hassan Al-Haydos,25
Qatar,Bhutan,Qatar,Mohammed Musa,28
Qatar,Bhutan,Qatar,Mohammed Muntari,37
Qatar,Bhutan,Qatar,Mohammed Muntari,41
Qatar,Bhutan,Qatar,Ali Assadalla,45
Qatar,Bhutan,Qatar,Mohammed Muntari,48
Qatar,Bhutan,Qatar,Akram Afif,57
Qatar,Bhutan,Qatar,Boualem Khoukhi,62
Qatar,Bhutan,Qatar,Ali Assadalla,63
Qatar,Bhutan,Qatar,Boualem Khoukhi,70
Qatar,Bhutan,Qatar,Ismaeel Mohammad,75
Qatar,Bhutan,Qatar,Hassan Al-Haydos,87
Saudi Arabia,Timor-Leste,Saudi Arabia,Yahya Al-Shehri,2
Saudi Arabia,Timor-Leste,Saudi Arabia,Mohammad Al-Sahlawi,23
Saudi Arabia,Timor-Leste,Saudi Arabia,Mohammad Al-Sahlawi,26
Saudi Arabia,Timor-Leste,Saudi Arabia,Salman Al-Faraj,30
Saudi Arabia,Timor-Leste,Saudi Arabia,Taisir Al-Jassim,32
Saudi Arabia,Timor-Leste,Saudi Arabia,Mohammad Al-Sahlawi,71
Saudi Arabia,Timor-Leste,Saudi Arabia,Fahad Al-Muwallad,73
South Korea,Laos,South Korea,Lee Chung-yong,9
South Korea,Laos,South Korea,Son Heung-min,12
South Korea,Laos,South Korea,Kwon Chang-hoon,30
South Korea,Laos,South Korea,Suk Hyun-jun,57
South Korea,Laos,South Korea,Son Heung-min,74
South Korea,Laos,South Korea,Kwon Chang-hoon,75
South Korea,Laos,South Korea,Son Heung-min,89
South Korea,Laos,South Korea,Lee Jae-sung,90
Syria,Singapore,Syria,Oday Al-Jafal,59
Turkey,Latvia,Turkey,Selçuk İnan,77
Turkey,Latvia,Latvia,Valērijs Šabala,90
United Arab Emirates,Malaysia,United Arab Emirates,Mohanad Salem,16
United Arab Emirates,Malaysia,United Arab Emirates,Ali Mabkhout,22
United Arab Emirates,Malaysia,United Arab Emirates,Ahmed Khalil,24
United Arab Emirates,Malaysia,United Arab Emirates,Habib Fardan,25
United Arab Emirates,Malaysia,United Arab Emirates,Ahmed Khalil,29
United Arab Emirates,Malaysia,United Arab Emirates,Ali Mabkhout,33
United Arab Emirates,Malaysia,United Arab Emirates,Mohamed Ahmed,37
United Arab Emirates,Malaysia,United Arab Emirates,Ahmed Khalil,70
United Arab Emirates,Malaysia,United Arab Emirates,Ali Mabkhout,76
United Arab Emirates,Malaysia,United Arab Emirates,Ahmed Khalil,78
Uzbekistan,Yemen,Uzbekistan,Alexander Geynrikh,51
American Samoa,Cook Islands,American Samoa,Ali'i Mitchell,57
American Samoa,Cook Islands,American Samoa,Justin Manao,67
Antigua and Barbuda,Guatemala,Antigua and Barbuda,Myles Weston,72
Canada,Belize,Canada,Tosaint Ricketts,25
Canada,Belize,Canada,Tosaint Ricketts,63
Canada,Belize,Canada,Atiba Hutchinson,90
Curaçao,El Salvador,El Salvador,Alexander Larín,12
Faroe Islands,Northern Ireland,Northern Ireland,Gareth McAuley,12
Faroe Islands,Northern Ireland,Faroe Islands,Jóan Símun Edmundsson,36
Faroe Islands,Northern Ireland,Northern Ireland,Gareth McAuley,71
Faroe Islands,Northern Ireland,Northern Ireland,Kyle Lafferty,75
Georgia,Scotland,Georgia,Valeri Qazaishvili,38
Germany,Poland,Germany,Thomas Müller,12
Germany,Poland,Germany,Mario Götze,19
Germany,Poland,Poland,Robert Lewandowski,37
Germany,Poland,Germany,Mario Götze,82
Gibraltar,Republic of Ireland,Republic of Ireland,Cyrus Christie,27
Gibraltar,Republic of Ireland,Republic of Ireland,Robbie Keane,49
Gibraltar,Republic of Ireland,Republic of Ireland,Robbie Keane,51
Gibraltar,Republic of Ireland,Republic of Ireland,Shane Long,79
Greece,Finland,Finland,Joel Pohjanpalo,75
Grenada,Haiti,Haiti,Jean-Eudes Maurice,27
Grenada,Haiti,Grenada,Anthony Straker,33
Grenada,Haiti,Haiti,Mechack Jérôme,38
Grenada,Haiti,Haiti,Duckens Nazon,56
Jamaica,Nicaragua,Nicaragua,Manuel Rosas Arreola,5
Jamaica,Nicaragua,Nicaragua,Carlos Chavarría,8
Jamaica,Nicaragua,Nicaragua,Luis Galeano,48
Jamaica,Nicaragua,Jamaica,Darren Mattocks,69
Jamaica,Nicaragua,Jamaica,Adrian Mariappa,78
Saint Vincent and the Grenadines,Aruba,Saint Vincent and the Grenadines,Tevin Slater,51
Saint Vincent and the Grenadines,Aruba,Saint Vincent and the Grenadines,Oalex Anderson,90
Serbia,Armenia,Serbia,Levon Hayrapetyan,22
Serbia,Armenia,Serbia,Adem Ljajić,53
Tonga,Samoa,Samoa,Andrew Mobberley,9
Tonga,Samoa,Samoa,Johnny Hall,22
Tonga,Samoa,Samoa,Johnny Hall,77
Austria,Moldova,Austria,Zlatko Junuzović,52
Estonia,Lithuania,Estonia,Konstantin Vassiljev,71
Luxembourg,North Macedonia,Luxembourg,Sébastien Thill,90
Montenegro,Liechtenstein,Montenegro,Fatos Bećiraj,38
Montenegro,Liechtenstein,Montenegro,Stevan Jovetić,56
Russia,Sweden,Russia,Artem Dzyuba,38
San Marino,England,England,Wayne Rooney,13
San Marino,England,England,Cristian Brolli,30
San Marino,England,England,Ross Barkley,46
San Marino,England,England,Theo Walcott,68
San Marino,England,England,Harry Kane,77
San Marino,England,England,Theo Walcott,78
Spain,Slovakia,Spain,Jordi Alba,5
Spain,Slovakia,Spain,Andrés Iniesta,30
Switzerland,Slovenia,Slovenia,Milivoje Novaković,45
Switzerland,Slovenia,Slovenia,Boštjan Cesar,48
Switzerland,Slovenia,Switzerland,Josip Drmić,80
Switzerland,Slovenia,Switzerland,Valentin Stocker,84
Switzerland,Slovenia,Switzerland,Josip Drmić,90
Ukraine,Belarus,Ukraine,Artem Kravets,7
Ukraine,Belarus,Ukraine,Andriy Yarmolenko,30
Ukraine,Belarus,Ukraine,Yevhen Konoplyanka,40
Ukraine,Belarus,Belarus,Sergei Kornilenko,62
Bosnia and Herzegovina,Andorra,Bosnia and Herzegovina,Ermin Bičakčić,14
Bosnia and Herzegovina,Andorra,Bosnia and Herzegovina,Edin Džeko,30
Bosnia and Herzegovina,Andorra,Bosnia and Herzegovina,Senad Lulić,45
Cyprus,Belgium,Belgium,Eden Hazard,86
Italy,Bulgaria,Italy,Daniele De Rossi,6
Latvia,Czech Republic,Czech Republic,David Limberský,13
Latvia,Czech Republic,Czech Republic,Vladimír Darida,25
Latvia,Czech Republic,Latvia,Artūrs Zjuzins,73
Malta,Azerbaijan,Azerbaijan,Rahid Amirguliyev,36
Malta,Azerbaijan,Malta,Michael Mifsud,55
Malta,Azerbaijan,Malta,Alfred Effiong,71
Malta,Azerbaijan,Azerbaijan,Rahid Amirguliyev,80
Norway,Croatia,Norway,Jo Inge Berget,51
Norway,Croatia,Norway,Vedran Ćorluka,69
Turkey,Netherlands,Turkey,Oğuzhan Özyakup,8
Turkey,Netherlands,Turkey,Arda Turan,26
Turkey,Netherlands,Turkey,Burak Yılmaz,86
Albania,Portugal,Portugal,Miguel Veloso,90
Finland,Faroe Islands,Finland,Joel Pohjanpalo,23
Northern Ireland,Hungary,Hungary,Richárd Guzmics,74
Northern Ireland,Hungary,Northern Ireland,Kyle Lafferty,90
Poland,Gibraltar,Poland,Kamil Grosicki,8
Poland,Gibraltar,Poland,Kamil Grosicki,15
Poland,Gibraltar,Poland,Robert Lewandowski,18
Poland,Gibraltar,Poland,Robert Lewandowski,29
Poland,Gibraltar,Poland,Arkadiusz Milik,56
Poland,Gibraltar,Poland,Jakub Błaszczykowski,59
Poland,Gibraltar,Poland,Arkadiusz Milik,72
Poland,Gibraltar,Poland,Bartosz Kapustka,73
Poland,Gibraltar,Gibraltar,Jake Gosling,87
Republic of Ireland,Georgia,Republic of Ireland,Jonathan Walters,69
Scotland,Germany,Germany,Thomas Müller,18
Scotland,Germany,Scotland,Mats Hummels,28
Scotland,Germany,Germany,Thomas Müller,34
Scotland,Germany,Scotland,James McArthur,43
Scotland,Germany,Germany,İlkay Gündoğan,54
Afghanistan,Japan,Japan,Shinji Kagawa,10
Afghanistan,Japan,Japan,Masato Morishige,35
Afghanistan,Japan,Japan,Shinji Kagawa,50
Afghanistan,Japan,Japan,Shinji Okazaki,57
Afghanistan,Japan,Japan,Shinji Okazaki,60
Afghanistan,Japan,Japan,Keisuke Honda,74
Aruba,Saint Vincent and the Grenadines,Aruba,Erixon Danso,4
Aruba,Saint Vincent and the Grenadines,Aruba,Erixon Danso,50
Aruba,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Tevin Slater,84
Bangladesh,Jordan,Jordan,Abdallah Deeb,13
Bangladesh,Jordan,Jordan,Munther Abu Amarah,33
Bangladesh,Jordan,Jordan,Abdallah Deeb,56
Bangladesh,Jordan,Jordan,Yaseen Al-Bakhit,58
Belarus,Luxembourg,Belarus,Mikhail Gordeichuk,34
Belarus,Luxembourg,Belarus,Mikhail Gordeichuk,62
Belize,Canada,Belize,Deon McCaulay,26
Belize,Canada,Canada,Will Johnson,45
Cambodia,Syria,Syria,Omar Khribin,29
Cambodia,Syria,Syria,Sanharib Malki,31
Cambodia,Syria,Syria,Omar Khribin,39
Cambodia,Syria,Syria,Mahmoud Al-Mawas,44
Cambodia,Syria,Syria,Omar Midani,50
Cambodia,Syria,Syria,Osama Omari,81
China PR,Maldives,China PR,Yu Dabao,8
China PR,Maldives,China PR,Yu Dabao,57
China PR,Maldives,China PR,Zhang Linpeng,66
El Salvador,Curaçao,El Salvador,Jonathan Barrios,9
England,Switzerland,England,Harry Kane,67
England,Switzerland,England,Wayne Rooney,84
Guatemala,Antigua and Barbuda,Guatemala,Carlos Ruiz,61
Guatemala,Antigua and Barbuda,Guatemala,Dennis López,75
Haiti,Grenada,Haiti,Wilde-Donald Guerrier,26
Haiti,Grenada,Haiti,Duckens Nazon,38
Haiti,Grenada,Haiti,Kervens Belfort,50
Hong Kong,Qatar,Qatar,Karim Boudiaf,22
Hong Kong,Qatar,Qatar,Abdelkarim Hassan,62
Hong Kong,Qatar,Qatar,Mohammed Musa,84
Hong Kong,Qatar,Hong Kong,Bai He,87
Hong Kong,Qatar,Hong Kong,Godfred Karikari,89
India,Iran,Iran,Sardar Azmoun,28
India,Iran,Iran,Andranik Teymourian,46
India,Iran,Iran,Mehdi Taremi,49
Laos,Kuwait,Kuwait,Yousef Nasser,31
Laos,Kuwait,Kuwait,Bader Al-Mutawa,84
Lebanon,South Korea,South Korea,Jang Hyun-soo,22
Lebanon,South Korea,South Korea,Ali Hamam,26
Lebanon,South Korea,South Korea,Kwon Chang-hoon,60
Liechtenstein,Russia,Russia,Artem Dzyuba,21
Liechtenstein,Russia,Russia,Aleksandr Kokorin,40
Liechtenstein,Russia,Russia,Artem Dzyuba,45
Liechtenstein,Russia,Russia,Artem Dzyuba,73
Liechtenstein,Russia,Russia,Fyodor Smolov,77
Liechtenstein,Russia,Russia,Alan Dzagoev,85
Liechtenstein,Russia,Russia,Artem Dzyuba,90
Lithuania,San Marino,Lithuania,Fedor Černych,7
Lithuania,San Marino,San Marino,Matteo Vitaioli,55
Lithuania,San Marino,Lithuania,Lukas Spalvis,90
Moldova,Montenegro,Montenegro,Stefan Savić,9
Moldova,Montenegro,Montenegro,Petru Racu,65
Nicaragua,Jamaica,Jamaica,Darren Mattocks,13
Nicaragua,Jamaica,Jamaica,Simon Dawkins,89
North Macedonia,Spain,Spain,Tome Pačovski,8
Philippines,Uzbekistan,Uzbekistan,Odil Ahmedov,1
Philippines,Uzbekistan,Uzbekistan,Sardor Rashidov,14
Philippines,Uzbekistan,Uzbekistan,Igor Sergeev,43
Philippines,Uzbekistan,Uzbekistan,Igor Sergeev,65
Philippines,Uzbekistan,Philippines,Stephan Schröck,68
Philippines,Uzbekistan,Uzbekistan,Sardor Rashidov,80
Slovenia,Estonia,Slovenia,Robert Berić,63
Sweden,Austria,Austria,David Alaba,9
Sweden,Austria,Austria,Martin Harnik,38
Sweden,Austria,Austria,Marc Janko,77
Sweden,Austria,Austria,Martin Harnik,88
Sweden,Austria,Sweden,Zlatan Ibrahimović,90
Taiwan,Vietnam,Vietnam,Đinh Tiến Thành,53
Taiwan,Vietnam,Taiwan,Wu Chun-ching,82
Taiwan,Vietnam,Vietnam,Trần Phi Sơn,90
Tajikistan,Australia,Australia,Mark Milligan,57
Tajikistan,Australia,Australia,Tim Cahill,73
Tajikistan,Australia,Australia,Tim Cahill,90
Thailand,Iraq,Iraq,Justin Meram,34
Thailand,Iraq,Iraq,Younis Mahmoud,49
Thailand,Iraq,Thailand,Theerathon Bunmathan,80
Thailand,Iraq,Thailand,Mongkol Tossakrai,83
Yemen,Bahrain,Bahrain,Hussain Ali Baba,31
Yemen,Bahrain,Bahrain,Sami Al-Husaini,45
Yemen,Bahrain,Bahrain,Abdullah Omar,66
Yemen,Bahrain,Bahrain,Sayed Mohamed Adnan,77
Mauritius,Kenya,Kenya,Johanna Omolo,19
Mauritius,Kenya,Kenya,Ayub Masika,23
Mauritius,Kenya,Kenya,Haron Shakava,49
Mauritius,Kenya,Mauritius,Andy Sophie,67
Mauritius,Kenya,Mauritius,Jonathan Bru,78
Mauritius,Kenya,Kenya,Johanna Omolo,82
Mauritius,Kenya,Kenya,Michael Olunga,87
Seychelles,Burundi,Burundi,Fiston Abdul Razak,15
South Sudan,Mauritania,Mauritania,Boubacar Bagili,3
South Sudan,Mauritania,South Sudan,Dominic Abui Pretino,5
Tanzania,Malawi,Tanzania,Mbwana Samatta,19
